
Available Providers (1355)
-------------------------------------------------------------------
{C5BFFE2E-9D87-D568-A09E-08FC83D0C7C2}	SQLOLEDB_1
{F59D1D86-CC03-4736-BC9C-4C7936871B3D}	RSS Platform Backgroundsync Trace
{CC85922F-DB41-11D2-9244-006008269001}	Local Security Authority (LSA)
{725BA9B3-C1F3-4518-AF1B-C8D669191E15}	Microsoft-Windows-QoS-WMI-Diag
{520319A9-B932-4EC7-943C-61E560939101}	WLAN Dialog Trace
{B6501BA0-C61A-C4E6-6FA2-A4E7F8C8E7A0}	MSDASQL_1
{945186BF-3DD6-4F3F-9C8E-9EDD3FC9D558}	Disk Class Driver Tracing Provider
{5C6CE734-1B3E-705E-C2AB-B272D99AAF8F}	MSADCO.1
{D5E09122-D0B2-4235-ADC1-C89FAAAF1069}	Windows Defender Firewall Driver
{7F3FE630-462B-47C5-AB07-67CA84934ABD}	WSAT_TraceProvider
{A1E89BB0-EF73-4980-8C99-DD15F7271D7E}	Sensor ClassExtension Trace
{AD33FA19-F2D2-46D1-8F4C-E3C3087E45AD}	FWPKCLNT Trace Provider
{97496DDA-C211-4FFE-B1B1-68E6E98EBC38}	WPD MTPDriver Trace
{A42C7BD1-5AF3-4B32-9BC6-B85EB31D3F4A}	WPD ShellExtension Trace
{564F1E24-FC86-28E1-74F8-5CA0D950BEE0}	MSDAREM.1
{3B9E3DA4-70B8-46D3-9EF2-3DDF128BDED8}	SD Bus Trace
{C100BECE-D33A-4A4B-BF23-BBEF4663D017}	Windows Connect Now
{D75D8303-6C21-4BDE-9C98-ECC6320F9291}	File Kernel Trace; Operation Set 1
{C861D0E2-A2C1-4D36-9F9C-970BAB943A12}	Thread Pool
{8A3CF0B5-E0BC-450B-AE4B-61728FFA1D58}	Wireless Client Trace
{07E397EC-C240-4ED7-8A2A-B9FF0FE5D581}	IMAPI2 Raw Image Writer
{6CC2405D-817F-4886-886F-D5D1643210F0}	Microsoft-Windows-NetAdapterCim-Diag
{94335EB3-79EA-44D5-8EA9-306F49B3A040}	Downlevel IPsec Service
{485E7DE9-0A80-11D8-AD15-505054503030}	Wudfx02000_KmdfTraceGuid
{54DEA73A-ED1F-42A4-AF71-3E63D056F174}	Circular Kernel Session Provider
{76DBA919-5A36-FC80-2CAD-3185532B7CB1}	MSADCE.1
{19EE4CF9-5322-4843-B0D8-BAB81BE4E81E}	Microsoft-Windows-OfflineFiles-CscApi
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7EA0}	IMAPI2 Multisession Sequential
{D451642C-63A6-11D7-9720-00B0D03E0347}	Windows Winlogon Trace
{651D672B-E11F-41B7-ADD3-C2F6A4023672}	IPMI Provider Trace
{AEFE45F4-8548-42B4-B1C8-25673B07AD8B}	PrintFilterPipelineSvc_ObjectsGuid
{8C50FA6E-394E-4B47-B6D1-A880A5F225A2}	RSS Platform Trace
{9C88041D-349D-4647-8BFD-2C0A167BFE58}	MMC
{D5418619-C167-44D9-BC36-765BEB5D55F3}	Microsoft-Windows-OfflineFiles-CscDclUser
{94335EB3-79EA-44D5-8EA9-306F49B3A041}	Downlevel IPsec API
{3AC66736-CC59-4CFF-8115-8DF50E39816B}	Critical Section Trace Provider
{485E7DEE-0A80-11D8-AD15-505054503030}	UMDF - Reflector Trace
{5A1600D2-68E5-4DE7-BCF4-1C2D215FE0FE}	FWPUCLNT Trace Provider
{A9C1A3B7-54F3-4724-ADCE-58BC03E3BC78}	Windows Media Player Trace
{106B464D-8043-46B1-8CB8-E92A0CD7A560}	IKEEXT Trace Provider
{467C1914-37F0-4C7D-B6DB-5CD7DFE7BD5E}	Mount Manager Trace
{EB004A05-9B1A-11D4-9123-0050047759BC}	TCPIP Service Trace
{9E814AAD-3204-11D2-9A82-006008A86939}	Windows Kernel Trace
{7EA56435-3F2F-3F63-A829-F0B35B5CAD41}	ADOMD.1
{D08BD885-501E-489A-BAC6-B7D24BFE6BBF}	ATA Port Driver Tracing Provider
{637A0F36-DFF5-4B2F-83DD-B106C1C725E2}	WLAN Diagnostics Trace
{5E23B838-5B71-47E6-B123-6FE02EF573EF}	Microsoft-Windows-OfflineFiles-CscUM
{361F227C-AA14-4D19-9007-0C8D1A8A541B}	Microsoft-Windows-OfflineFiles-CscNetApi
{04C6E16D-B99F-4A3A-9B3E-B8325BBC781E}	Windows Remote Management Trace
{6710597F-7319-4AAE-9B85-C8D87136A56B}	SBP2 Port Driver Tracing Provider
